pid,guid,creationTime,days,content,nickname,productColor,referenceId,referenceName,referenceTime,score,userClient,userLevelId,userLevelName,userProvince,userRegisterTime,版本,颜色
5821455,bb63512f-47f8-420c-a4c9-b3ca473bec39,2018-02-07 22:44:47,7,*，特意用了近十天才来评价。我89年的，2013年底才用上智能手机，京东买的华为荣耀3，速度慢但是质量好，用了三四年因为系统问题开不了机。到今年初京东买苹果se速度确实快，但是质量不好，才用半年天冷了现在总是自动关机，再很难开机。所以想买个手机，喜欢荣耀所以京东买了个荣耀9，用了一晚上速度很快，可是屏幕拖影严重，电池耗电也很快。我申请退货，京东服务很好上门来取走，第二天就退钱了。超赞！然后看中了这个荣耀v10，难抢，套餐购买近叁，千块。我舍不得，怕不好。因为看评价说屏幕国产也不好。我29岁单身，想省钱装修房子找对象。想买个荣耀8一千五凑合着用算了。纠结了好多天。还是忍不住买了荣耀v10，因为我有个华为平板m3，很喜欢前置指纹解锁按钮。收到机子我很喜欢，出厂自带贴膜很棒。屏幕大我手小也能拿住用，比一般六寸手机窄，手感很好可单手操作。前置指纹解锁也很快很好，最爱这个了。看评论说国产屏幕有斜纹，我的这个没看出来，屏幕很清晰，没问题。电池也很耐用，充满电，我第一天轻度使用，到晚上还有96％的电。后来中度使用，,N***n,幻夜黑,5853593,荣耀 V10 高配版 6GB+64GB 极光蓝 移动联通电信4G全面屏游戏手机 双卡双待,2018-01-31 13:12:10,5,2,105,PLUS会员,,,全网通（4gb 64gb）,幻夜黑
5821455,84cdd106-c04c-4ff3-9749-b167e038b23d,2018-03-07 16:45:50,3,先去实体店看了下这款手机，红色的确实挺惊艳的！但是店里面128G的比京东要贵点，吓得我掉头就走了，回来在京东上看了看，然后才决定买4+64的，个人感觉够用了，手机到手后手感真的好，也很顺手，完全OK，用段时间再来追评吧。对了，我是男的，用红色贼骚！?,罗***-,魅丽红,5853581,荣耀 V10 高配版 6GB+64GB 极光蓝 移动联通电信4G全面屏游戏手机 双卡双待,2018-03-04 14:22:58,5,4,105,钻石会员,,,全网通（4gb 64gb）,魅丽红
5821455,68efd812-3cec-479e-beab-43caa422edd7,2018-06-06 20:35:35,1,第一次在京东买手机，谈一下个人感受，去年夏天给老婆买了一部荣耀9高配版，配置，做工，颜值，系统等各方面都满意，唯一的遗憾是中了个三等奖，不过老婆不是手机重度使用者，所以也无妨了。今年6.18看优惠力度不错，果断下手了一部荣耀v10高配版，v10的硬件配置自不必我多说，大家都了解。晚上下单次日上午就收到了，拆开物流包装，里面的手机包装完好无缺，这点让我很高兴，因为早熟悉了荣耀的系统，所以下午很快就安装好了我常用的那些软件，每个软件都依次登录我的账号信息，再把我旧手机上的数据导入到新机里，一切就绪后开始体验，期间有多个程序使用时有卡顿，还出现过一次自动重启手机现象，然后和老婆的荣耀9进行同步对比，却发现打开同一个软件时的反应速度却没有9快，很疑惑，难道麒麟970还不如960？还是说因为新机头一天使用，机子消化不良？今天暂不下定论，用几天后再来追评，本人一直支持国产实业，希望华为不要让我再次有遗憾！,冯***9,极光蓝,5821455,荣耀 V10 高配版 6GB+64GB 极光蓝 移动联通电信4G全面屏游戏手机 双卡双待,2018-06-05 19:13:25,5,4,61,银牌会员,,,全网通（6gb 64gb）,极光蓝
5821455,03c1814c-7f10-42f5-b880-0f6f81d86e3d,2018-03-01 14:38:07,3,内存大，外观好看，手感不错，我一直想买，买来后果然不错，运行也很快，很适合我们年轻人，颜色也好好。,小***l,幻夜黑,5853579,荣耀 V10 高配版 6GB+64GB 极光蓝 移动联通电信4G全面屏游戏手机 双卡双待,2018-02-26 20:07:20,5,4,62,金牌会员,,,全网通（6gb 64gb）,幻夜黑
5821455,10176600-d920-4b65-a349-016efb104c3d,2018-02-07 13:38:27,1,手机实物比照片更漂亮，速度杠杠滴！玩了一把王者用的李白五杀吓哭！荣耀玩荣耀杠杠滴。,j***6,幻夜黑,5853579,荣耀 V10 高配版 6GB+64GB 极光蓝 移动联通电信4G全面屏游戏手机 双卡双待,2018-02-06 14:14:14,5,4,61,银牌会员,,,全网通（6gb 64gb）,幻夜黑
5821455,62b708ff-9621-4a8f-8f44-1a21874735e1,2017-12-26 12:44:03,1,手机反应很快，指纹秒解锁，人脸秒解锁，买的套装版，有半年的碎屏险，还赠送了一副荣耀耳机，性价比比较高。试了半天，总的感受：1.系统反应迅速，很流畅，麒麟970的确不错。2.屏幕整体显示效果很好，还有色彩调节。3.正面指纹解锁，还有home键，这个价位，这个配置，可能是唯一选择。缺点嘛，可以说近乎完美了，并无明显缺点。总体来说，非常值得拥有的一部手机，比动辄6.7千性价比高很多，省下将近*元给妈妈买台好点的洗衣机也不错啊！,-***_,幻夜黑,5853579,荣耀 V10 高配版 6GB+64GB 极光蓝 移动联通电信4G全面屏游戏手机 双卡双待,2017-12-25 11:14:29,5,4,105,PLUS会员,,,全网通（6gb 64gb）,幻夜黑
5821455,7372e867-79e8-4934-a4cc-b9b2775be7cf,2017-12-18 15:45:28,6,感觉挺好的，速度也挺快的，指纹解锁特别快，这个面部解锁也太灵敏了我去，电量也很耐用充电又快，这麒麟970系统挺厉害的，唯一不足的就是什么都没有连耳机都没有有点心塞能送个耳机就好了。总体来说很好值得购买。,j***n,魅丽红,5924266,荣耀 V10 高配版 6GB+64GB 极光蓝 移动联通电信4G全面屏游戏手机 双卡双待,2017-12-12 00:29:16,5,2,62,金牌会员,,,全网通（6gb 64gb）,魅丽红
5821455,5d35c914-d8cc-4a2f-99bd-d8e5ad5b635c,2018-01-31 23:07:01,1,今天刚开始用，用用再说吧！应该会不错的！一直用华为！没有让我失望过！过几天再来评论！,6***i,幻夜黑,5853579,荣耀 V10 高配版 6GB+64GB 极光蓝 移动联通电信4G全面屏游戏手机 双卡双待,2018-01-30 19:32:12,5,4,62,金牌会员,,,全网通（6gb 64gb）,幻夜黑
5821455,350dd16e-a717-449d-87cd-d4034f3061ea,2018-06-18 15:10:36,1,京东618实在没忍住，在617的夜晚买了拔草已久的荣耀v10送给妈妈。不到2500元，性价比感觉很不错。首先，外观v10魅力红和6p都很美有木有。v10和ipone6p长度和厚度一样，宽度略窄2mm，图四仔细看落在一起稍微能看出点6p的边边。其次，v10机身内存6g+64g，6p内存64g。第三，使用时长来说，本人6p2015年5月份买，使用到现在，内存差不多够用。速度还可以。当然不能更新到ios11。所以想着妈妈肯定也够用。使用年限如果能达到3年以上速度依然如初。那就是性价比之王了感觉。待考查。第四，图片清晰度来说，绿色是v10照的，紫色是6p照的。拍照时的清晰度和明亮度很明显有差别。保证拍照没有美化。第五，玩游戏来说。老公反馈。吃鸡刺激战场清晰度v10明显比6p好。更何况屏幕更大。速度差不多。第六，音效来说。个人感觉v10稍微清亮一些，6p声音圆润一些，各有所爱。最后，价格。v10。2479元；6p。5500元。总而言之。如果荣耀v10能在三年后甚至更长时间运行速度依然如初。不卡顿。那才是大家真正的心头好。加油哦。,1***1,魅丽红,5924266,荣耀 V10 高配版 6GB+64GB 极光蓝 移动联通电信4G全面屏游戏手机 双卡双待,2018-06-17 23:05:50,5,2,62,PLUS会员,,,全网通（6gb 64gb）,魅丽红
5821455,3581c8a2-7c12-4b71-a322-67dc330cd9bc,2017-12-15 22:10:31,10,期待了很久，等了很久，现在到手有点失望，感觉发布会的吹得有点过了。1不满意就是后盖感觉很空，里面不够饱满，薄薄的。2屏幕有斜纹3耳机孔实在惨不忍睹，这毛刺，感觉是人工钻的。4充电孔里面空空的，感觉不防水不防尘5电池也不算耐用，一般，勉强够一天6后盖感觉不是金属，中框才是7发布会的很多功能都没见着，感觉跟普通手机没啥区别，比如拍照出双胞胎，换背景，3D啥的，都没体现出AI的什么特别。机子玩荒野逃生居然偶尔会卡，我旧手机三星s6返倒没出现过。8还有面部识别速度慢，光线稍微差点都不行，感觉鸡肋，还有屏幕的信息隐藏功能，我看的时候基本是信息已隐藏，擦。总体说，失望。,s***i,幻夜黑,5853579,荣耀 V10 高配版 6GB+64GB 极光蓝 移动联通电信4G全面屏游戏手机 双卡双待,2017-12-05 11:26:59,5,4,105,钻石会员,,,全网通（6gb 64gb）,幻夜黑
