pid,guid,creationTime,days,content,nickname,productColor,referenceId,referenceName,referenceTime,score,userClient,userLevelId,userLevelName,userProvince,userRegisterTime
7421316,9315e1c8-9a75-4629-bf91-9ebf6d98bcf8,2018-06-02 21:21:16,1,手机超级漂亮，速度非常快，早就想买了，终于到手了。同事们都说好，爽歪歪！,阿***瓒,极光白,7534085,【保险套装版】vivo X21i 全面屏 双摄美颜拍照手机 4GB+128GB 宝石红 移动联通电信全网通4G手机 双卡双待,2018-06-01 07:24:18,5,2,105,PLUS会员,,
7421316,f88c0e3f-b9ef-4462-9a03-d340d62a7f99,2018-05-22 18:28:58,1,昨天下单今天就收到了，这速度真是比我们想象中要快。刚从学校毕业那会发的第一个月工资买了一台步步高i530手机，回家和同学还撞衫，朋友说真是关系到位，品味都是一样的。后面又买了一台vivoY22的手机，就是自己用的第一个智能手机，拍照好，老爸喜欢画画，就拍了很多名画给他，他看着我的手机说，闺女，借爸用几天行不。看到老爸喜欢的不得了，就送老爸了，没想到他对手机比对我妈还好，不让其他人动他的手机。小姨说看到我老爸手机好漂亮，也想要个vivo手机，果断给小姨买了Y55 ，小姨自豪的说，我终于用上vivo手机了。看到X9上市，说有柔光自拍，就果断又给自己买下，用到现在都是很流畅，浏览网页发现vivo新品X21i宝石红特漂亮，说前置2400万像素，6G运行内存、而且价格还不贵，果断用京东白条购买了这款，果然没让我失望，满满的惊喜，就当送给自己的生日礼物了。中午激动都没午休，全程在研究怎么用，果然拍照没有让我失望。希望vivo越来越好，支持国产手机！,暖***3,宝石红,7320806,【保险套装版】vivo X21i 全面屏 双摄美颜拍照手机 4GB+128GB 宝石红 移动联通电信全网通4G手机 双卡双待,2018-05-21 16:52:30,5,4,62,金牌会员,,
7421316,469d4afe-ee89-450e-8cba-3c199dc3b838,2018-06-06 16:24:35,5,第一次用vivo手机，到手很惊艳，款式萌、份量合适很就手，而且手感相当好，机身轻盈灵巧。系统相当流畅，拍照效果很好，也有很多萌趣的玩法，电池续航能力尚可，玩机机身微温，可以接受。就是虚拟键要上消才有作用，不是点按虚拟键便能操作，很不方便。还有就是沒有误触功能，装在袋里有时会自动触发相机功能，希望系统升级会有改善。相当值得拥有的一款手机！京东服务完美！,j***8,极夜黑,7320808,【保险套装版】vivo X21i 全面屏 双摄美颜拍照手机 4GB+128GB 宝石红 移动联通电信全网通4G手机 双卡双待,2018-06-01 19:12:39,5,4,105,PLUS会员,,
7421316,08ef8fb2-06ab-4359-b659-3f643ac6b98d,2018-06-05 08:41:21,15,先说外观吧，没得说颜值高，全面屏的  当下很流行的，屏占比高  手机四个角设计的恰到好处，刘海比苹果的小  看着也舒服，之前差一点买oppo  R15，这个手机很薄，r15没这个薄，拍照两个机器 前置摄像头21好，后置15好。    处理器很一般p60的   比起骁龙660差点，估计前两年用着不会卡往后去可能要卡了，做工后面玻璃中间铝合金   很好看的，  比起y85   z1。这个手机要薄很多，有快充    像素好。最后京东快递超快的,c***月,极光白,7534085,【保险套装版】vivo X21i 全面屏 双摄美颜拍照手机 4GB+128GB 宝石红 移动联通电信全网通4G手机 双卡双待,2018-05-21 15:51:49,5,4,62,金牌会员,,
7421316,2a968c91-5969-4f50-93b2-2e575ef61eb0,2018-06-04 16:29:17,2,充电器居然是坏的，一直充不进电，又没有客服，该死的机器人一直重复发一些无关的话，充电器不行，有没有人来解决,怡***童,宝石红,7320806,【保险套装版】vivo X21i 全面屏 双摄美颜拍照手机 4GB+128GB 宝石红 移动联通电信全网通4G手机 双卡双待,2018-06-02 15:27:08,5,4,61,银牌会员,,
7421316,52d18950-4459-44f1-9def-7961354a1e70,2018-05-26 15:38:09,2,第一次买国产手机 没去实体店 看过。好惊艳。国货现在真的牛逼。,六***婳,极夜黑,7320808,【保险套装版】vivo X21i 全面屏 双摄美颜拍照手机 4GB+128GB 宝石红 移动联通电信全网通4G手机 双卡双待,2018-05-24 00:31:25,5,2,62,金牌会员,,
7421316,e656df4f-f519-4287-8688-cdce66898b7c,2018-06-19 09:23:14,6,第一次用vivo的手机，回来一看，喜欢的不得了，屏超薄，还是人脸识别解锁，高科技，全屏手机，拿手里的感觉特别好，值得购买,爱***8,极夜黑,7320808,【保险套装版】vivo X21i 全面屏 双摄美颜拍照手机 4GB+128GB 宝石红 移动联通电信全网通4G手机 双卡双待,2018-06-13 09:28:21,5,4,62,金牌会员,,
7421316,4ae0403a-0151-4556-9f91-c45c3234677a,2018-06-16 21:02:11,4,特别流畅，电池超耐用，1天半充一次电，款式也好看，唯一一点，买完才知道，比实体店贵300-400，我肉疼，以后手机不要在网上买了，已经颠覆了网上比实体便宜的年代了,a***娜,宝石红,7320806,【保险套装版】vivo X21i 全面屏 双摄美颜拍照手机 4GB+128GB 宝石红 移动联通电信全网通4G手机 双卡双待,2018-06-12 13:50:07,5,2,61,银牌会员,,
7421316,e23f1542-2279-4390-9a88-17ad4e5e3bd8,2018-05-21 13:49:08,1,挺不错的一块款手机，值得拥有。,知***8,极光白,7534085,【保险套装版】vivo X21i 全面屏 双摄美颜拍照手机 4GB+128GB 宝石红 移动联通电信全网通4G手机 双卡双待,2018-05-20 16:54:35,5,4,105,PLUS会员,,
7421316,ded8273a-bcfe-44cf-85be-43a50a16dc00,2018-06-05 12:27:37,1,还可以吧整体而言,j***a,极光白,7534085,【保险套装版】vivo X21i 全面屏 双摄美颜拍照手机 4GB+128GB 宝石红 移动联通电信全网通4G手机 双卡双待,2018-06-04 10:58:47,5,4,61,银牌会员,,
7421316,342233ea-88df-4dac-ad1d-a0bf03c61bf6,2018-06-20 10:05:22,2,第一次用wiwo而且还是全屏幕无边框，感觉不错，待研究后在来评价，另外送的耳机?不好用，不配套,j***g,极夜黑,7320808,【保险套装版】vivo X21i 全面屏 双摄美颜拍照手机 4GB+128GB 宝石红 移动联通电信全网通4G手机 双卡双待,2018-06-18 15:16:21,5,4,61,银牌会员,,
7421316,fde3792a-d0e2-4dd8-9122-b1ec95bf6905,2018-05-25 12:14:48,1,发货神速昨天晚上买的中午就收到了刚试用了还不错过几天再评论,小松55559,极夜黑,7399748,【保险套装版】vivo X21i 全面屏 双摄美颜拍照手机 4GB+128GB 宝石红 移动联通电信全网通4G手机 双卡双待,2018-05-24 22:30:06,5,4,61,银牌会员,,
7421316,67ec0c42-1f51-472f-b2c5-f38f74d0a211,2018-05-21 12:26:29,2,手机是给玩得好的一哥们买的，目前来说还比较满意,周***丶,极夜黑,7320808,【保险套装版】vivo X21i 全面屏 双摄美颜拍照手机 4GB+128GB 宝石红 移动联通电信全网通4G手机 双卡双待,2018-05-19 10:32:33,5,4,105,PLUS会员,,
7421316,1e02d0b0-a634-4ec5-a1c2-8c9d47d65dd9,2018-06-12 23:10:50,4,看了很多，最后还是选择了X21，用了几天，速度确实不错，相机没得说！就是有时候反应有点卡！,j***f,极光白,7534085,【保险套装版】vivo X21i 全面屏 双摄美颜拍照手机 4GB+128GB 宝石红 移动联通电信全网通4G手机 双卡双待,2018-06-08 11:26:49,5,4,61,银牌会员,,
7421316,0544b06c-900c-4fe6-96e7-40ac95e9b773,2018-05-30 09:48:02,2,太棒了，全面屏看着就是舒服，大气！快递也蛮快的，送的蓝牙音响音质不错！,李***Z,极夜黑,7399748,【保险套装版】vivo X21i 全面屏 双摄美颜拍照手机 4GB+128GB 宝石红 移动联通电信全网通4G手机 双卡双待,2018-05-28 23:20:58,5,4,61,银牌会员,,
7421316,de2b11d7-2717-4341-91a0-b29b24af024d,2018-05-21 13:25:08,1,手机还不错！这是第一次买vivo的手机！同事都说vivo的手机不错！买一台试试看！运行速度比较快！就是不知道玩游戏会怎么样！还没试过！全屏的，边缘还是有些黑框！用的来说还可以吧！京东送货好快啊！昨下午下单，今天上午十点多就到了！一直都在京东买电子产品！都不错！,不***量,宝石红,7613853,【保险套装版】vivo X21i 全面屏 双摄美颜拍照手机 4GB+128GB 宝石红 移动联通电信全网通4G手机 双卡双待,2018-05-20 12:00:29,5,4,105,钻石会员,,
7421316,bd5cb1f3-43d1-4843-83c1-c19424cf332d,2018-06-21 05:13:33,2,全屏时代，很帅气的手机，送给老公初当爹的礼物。运行很快，玩游戏很嗨，给宝宝照相很美,j***輝,极夜黑,7320808,【保险套装版】vivo X21i 全面屏 双摄美颜拍照手机 4GB+128GB 宝石红 移动联通电信全网通4G手机 双卡双待,2018-06-19 17:41:21,5,4,62,金牌会员,,
7421316,ef48a2d9-a2b4-4d58-bf39-33842f75b298,2018-06-07 12:44:28,2,手机很漂亮，系统很快，女朋友很喜欢，就是闭眼睛面部识别不了，想偷偷转红包，不可能了,j***0,极光白,7534085,【保险套装版】vivo X21i 全面屏 双摄美颜拍照手机 4GB+128GB 宝石红 移动联通电信全网通4G手机 双卡双待,2018-06-05 09:34:09,5,4,62,金牌会员,,
7421316,b9ee5fa1-c5bc-464b-9d83-83861a73d06b,2018-06-19 19:38:08,1,哈哈，手机收到了，真是快，漂不漂亮你们自己看，我看真的很不错，支持国产,李***9,极夜黑,7320808,【保险套装版】vivo X21i 全面屏 双摄美颜拍照手机 4GB+128GB 宝石红 移动联通电信全网通4G手机 双卡双待,2018-06-18 15:38:13,5,2,62,金牌会员,,
7421316,744c3f99-cd69-4060-9c8e-dda207c19d48,2018-06-10 08:30:56,3,第一次用全面屏，感觉非常好，因为618没有当天到有点不开心，不错的手机,阿***宝,宝石红,7320806,【保险套装版】vivo X21i 全面屏 双摄美颜拍照手机 4GB+128GB 宝石红 移动联通电信全网通4G手机 双卡双待,2018-06-07 09:44:58,5,2,62,金牌会员,,
7421316,5d78dc0f-6a91-4f18-a041-c6262c17b112,2018-06-15 10:51:35,1,外观好漂亮，喜欢喜欢，等用段时间在来评价哈哈哈，希望用的久一点。,金***石,极夜黑,7320808,【保险套装版】vivo X21i 全面屏 双摄美颜拍照手机 4GB+128GB 宝石红 移动联通电信全网通4G手机 双卡双待,2018-06-14 22:19:01,5,2,62,金牌会员,,
7421316,9298fe65-e2da-40c3-a54c-6ee9ce028bdf,2018-06-10 13:34:49,1,就目前看运行还不错，外观也可以，是一次愉快的购物，就是没看到花票,j***c,极夜黑,7399748,【保险套装版】vivo X21i 全面屏 双摄美颜拍照手机 4GB+128GB 宝石红 移动联通电信全网通4G手机 双卡双待,2018-06-09 13:52:36,5,4,61,银牌会员,,
7421316,400ade3c-bc93-4c37-ac37-e9488268f97f,2018-06-19 10:21:35,3,还不错哦，全面屏好用，系统反应灵敏，性价比高，值得推荐哦,w***0,宝石红,7320806,【保险套装版】vivo X21i 全面屏 双摄美颜拍照手机 4GB+128GB 宝石红 移动联通电信全网通4G手机 双卡双待,2018-06-16 18:15:26,5,4,105,钻石会员,,
7421316,1fb5944a-d172-4c5a-9d39-1edaff025bf8,2018-06-05 15:39:51,2,此用户未填写评价内容,a***4,极夜黑,7320808,【保险套装版】vivo X21i 全面屏 双摄美颜拍照手机 4GB+128GB 宝石红 移动联通电信全网通4G手机 双卡双待,2018-06-03 17:56:33,5,4,105,钻石会员,,
7421316,7e82abe0-ac72-4744-a796-11f287d1e73e,2018-06-16 14:33:39,4,真的不错，给女儿高考的礼物，她很喜欢，很开心?,j***f,宝石红,7320806,【保险套装版】vivo X21i 全面屏 双摄美颜拍照手机 4GB+128GB 宝石红 移动联通电信全网通4G手机 双卡双待,2018-06-12 08:32:37,5,4,62,金牌会员,,
7421316,dd219175-1429-458a-993d-662f59ccb346,2018-06-11 22:21:10,10,感觉还不错。。。。。。。。。。。。。。。。。。,黄***舒,极光白,7534085,【保险套装版】vivo X21i 全面屏 双摄美颜拍照手机 4GB+128GB 宝石红 移动联通电信全网通4G手机 双卡双待,2018-06-01 22:46:16,5,4,105,钻石会员,,
7421316,f925f821-e4aa-4a88-9eb1-dfe8f8b8fd18,2018-06-22 12:03:58,3,此用户未填写评价内容,我***1,极光白,7534085,【保险套装版】vivo X21i 全面屏 双摄美颜拍照手机 4GB+128GB 宝石红 移动联通电信全网通4G手机 双卡双待,2018-06-19 08:12:39,5,4,105,PLUS会员,,
7421316,469c188b-a06c-4dba-85c2-c0ecf184b75f,2018-06-20 09:22:11,2,拍照效果很好，很清晰。颜色感觉也还好,j***7,宝石红,7613853,【保险套装版】vivo X21i 全面屏 双摄美颜拍照手机 4GB+128GB 宝石红 移动联通电信全网通4G手机 双卡双待,2018-06-18 15:13:43,5,4,61,银牌会员,,
